question	label
聂禹对哪些事有浓厚的兴趣？该问题的答案在知识库中对应的三元组为['聂禹 ||| 身高 ||| 1米73']。这样对吗？	0
周蕙喜爱的音乐类型是什么样的该问题的答案在知识库中对应的三元组为['周蕙 ||| 最喜欢的曲风 ||| 另类、R&B']。这样对吗？	1
周蕙喜爱的音乐类型是什么样的该问题的答案在知识库中对应的三元组为['周蕙 ||| 音乐类型 ||| 国语流行音乐']。这样对吗？	0
利率平均理论的提出者与完善者是谁？该问题的答案在知识库中对应的三元组为['利率平均理论 ||| 提出者 ||| 凯恩斯']。这样对吗？	1
利率平均理论的提出者与完善者是谁？该问题的答案在知识库中对应的三元组为没有找到该问题对应的知识。这样对吗？	0
廖沫沙是我非常尊敬的一位作家，他的生平和作品我都挺感兴趣的。但我还有一些关于他的生活琐事不是很清楚。比如他的别名和本名，他的国籍和民族，属于哪一党派，他的出生日期和逝世日期是哪一天。他的主要职业是什么，他毕业于哪所大学，又是在哪个时期创作的。最后，他受影响于哪位作家呢？该问题的答案在知识库中对应的三元组为['廖沫沙 ||| 别名 ||| 廖沫沙', '廖沫沙 ||| 本名 ||| 廖家权', '廖沫沙 ||| 国籍 ||| 中国', '廖沫沙 ||| 民族 ||| 汉族', '廖沫沙 ||| 政党 ||| 中国共产党', '廖沫沙 ||| 出生日期 ||| 1907年1月16日', '廖沫沙 ||| 逝世日期 ||| 1991年12月27日', '廖沫沙 ||| 职业 ||| 文学 中国著名作家', '廖沫沙 ||| 毕业院校 ||| 上海艺术大学肄业', '廖沫沙 ||| 创作时期 ||| 1930年-1990年', '廖沫沙 ||| 受影响于 ||| 鲁迅']。这样对吗？	1
廖沫沙是我非常尊敬的一位作家，他的生平和作品我都挺感兴趣的。但我还有一些关于他的生活琐事不是很清楚。比如他的别名和本名，他的国籍和民族，属于哪一党派，他的出生日期和逝世日期是哪一天。他的主要职业是什么，他毕业于哪所大学，又是在哪个时期创作的。最后，他受影响于哪位作家呢？该问题的答案在知识库中对应的三元组为['廖沫沙 ||| 受影响于 ||| 鲁迅', '廖沫沙 ||| 别名 ||| 廖沫沙', '廖沫沙 ||| 国籍 ||| 中国', '廖沫沙 ||| 政党 ||| 中国共产党', '廖沫沙 ||| 出生日期 ||| 1907年1月16日', '廖沫沙 ||| 职业 ||| 文学 中国著名作家', '廖沫沙 ||| 受影响于 ||| 鲁迅', '廖沫沙 ||| 创作时期 ||| 1930年-1990年', '廖沫沙 ||| 受影响于 ||| 鲁迅']。这样对吗？	0
什么是苏学亭用来放书地方的名字？该问题的答案在知识库中对应的三元组为['苏学亭 ||| 斋号 ||| 一精斋、识石屋']。这样对吗？	1
什么是苏学亭用来放书地方的名字？该问题的答案在知识库中对应的三元组为['苏学亭 ||| 工作单位 ||| 山东科技大学']。这样对吗？	0
历史上的明云都做出了哪些贡献？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
历史上的明云都做出了哪些贡献？该问题的答案在知识库中对应的三元组为['明云 ||| 房号 ||| 圆融房、慈云房', '明云 ||| 宗派 ||| 天台宗']。这样对吗？	0
鹤屋是一位在动漫界深受欢迎的角色，她创作者是谁，她出现在哪部作品，她是哪个学校的学生，她担任什么重要职务，她的声优是谁？该问题的答案在知识库中对应的三元组为['鹤屋 ||| 作者 ||| 凉宫春', '鹤屋 ||| 所属作品 ||| 《凉宫春日的忧郁》', '鹤屋 ||| 学校 ||| 县立北高', '鹤屋 ||| 职务 ||| SOS团名誉顾问', '鹤屋 ||| 声优 ||| 松冈由贵/何璐怡/吴贵竹']。这样对吗？	1
鹤屋是一位在动漫界深受欢迎的角色，她创作者是谁，她出现在哪部作品，她是哪个学校的学生，她担任什么重要职务，她的声优是谁？该问题的答案在知识库中对应的三元组为['鹤屋 ||| 所属作品 ||| 《凉宫春日的忧郁》', '鹤屋 ||| 所属作品 ||| 《凉宫春日的忧郁》', '鹤屋 ||| 学校 ||| 县立北高', '鹤屋 ||| 职务 ||| SOS团名誉顾问', '鹤屋 ||| 声优 ||| 松冈由贵/何璐怡/吴贵竹']。这样对吗？	0
哪一年在瑞士侏罗山区创立了瑞士迪沃斯该问题的答案在知识库中对应的三元组为['迪沃斯 ||| 创始时间 ||| 1861年']。这样对吗？	1
哪一年在瑞士侏罗山区创立了瑞士迪沃斯该问题的答案在知识库中对应的三元组为没有找到该问题对应的知识。这样对吗？	0
修革是哪所学校毕业的？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
修革是哪所学校毕业的？该问题的答案在知识库中对应的三元组为['修革 ||| 职业 ||| 影视演员，功夫、戏曲(豫剧)']。这样对吗？	0
蒙奇- D-路飞的短项是哪些呢该问题的答案在知识库中对应的三元组为['蒙奇- D-路飞 ||| 弱点 ||| 怕刀、海楼石、怕烫、不能游泳(恶魔果实能力者共通弱点']。这样对吗？	1
蒙奇- D-路飞的短项是哪些呢该问题的答案在知识库中对应的三元组为['蒙奇- D-路飞 ||| 身高 ||| 170cm']。这样对吗？	0
姚嘉妮的胸围、腰围和臀围是多少？该问题的答案在知识库中对应的三元组为['姚嘉妮 ||| 三围尺寸 ||| 胸围(32英寸)；腰围(23英寸)；臀围(32英寸)']。这样对吗？	1
姚嘉妮的胸围、腰围和臀围是多少？该问题的答案在知识库中对应的三元组为['姚嘉妮 ||| 三围 ||| 32/23/32', '姚嘉妮 ||| 身高 ||| 167cm', '姚嘉妮 ||| 职业 ||| 演员']。这样对吗？	0
刘成军任职部队名称是？该问题的答案在知识库中对应的三元组为['刘成军 ||| 军队 ||| 中国人民解放军']。这样对吗？	1
刘成军任职部队名称是？该问题的答案在知识库中对应的三元组为['刘成军 ||| 所属党派 ||| 中国共产党']。这样对吗？	0
戴立忍，是一个中国籍的演员和导演，他的出生地在台东市，血型是B型，况且他是狮子座。他有着如《不能没有你》、《第四张画》、《白色巨塔》等代表作品。我对他的出生日期，以及他的经纪公司名称和他的兴趣、特殊技能有些模糊，高兴能向你请教。该问题的答案在知识库中对应的三元组为['戴立忍 ||| 出生日期 ||| 1966年7月27日', '戴立忍 ||| 经纪公司 ||| 北京千易时代文化传媒有限公司', '戴立忍 ||| 兴趣 ||| 写作、戏剧演出 、上网', '戴立忍 ||| 特长 ||| 跆拳道三段']。这样对吗？	1
戴立忍，是一个中国籍的演员和导演，他的出生地在台东市，血型是B型，况且他是狮子座。他有着如《不能没有你》、《第四张画》、《白色巨塔》等代表作品。我对他的出生日期，以及他的经纪公司名称和他的兴趣、特殊技能有些模糊，高兴能向你请教。该问题的答案在知识库中对应的三元组为['戴立忍 ||| 别名 ||| 戴立忍', '戴立忍 ||| 血型 ||| B', '戴立忍 ||| 星座 ||| 狮子座', '戴立忍 ||| 代表作品 ||| 不能没有你、第四张画、白色巨塔', '戴立忍 ||| 经纪公司 ||| 北京千易时代文化传媒有限公司', '戴立忍 ||| 特长 ||| 跆拳道三段']。这样对吗？	0
伊利丹·怒风是我在游戏中的一个最爱的角色，他是恶魔猎手，同时也是法师。伊利丹·怒风的英文名是Illidan Stormrage，他是半恶魔半暗夜精灵。除此之外，我想知道他的中文名，别名和他的羽贯、民族是什么？该问题的答案在知识库中对应的三元组为['伊利丹·怒风 ||| 别名 ||| 伊利丹·怒风', '伊利丹·怒风 ||| 中文名 ||| 伊利丹·怒风', '伊利丹·怒风 ||| 籍贯 ||| 达纳苏斯', '伊利丹·怒风 ||| 民族 ||| 半恶魔半暗夜精灵']。这样对吗？	1
伊利丹·怒风是我在游戏中的一个最爱的角色，他是恶魔猎手，同时也是法师。伊利丹·怒风的英文名是Illidan Stormrage，他是半恶魔半暗夜精灵。除此之外，我想知道他的中文名，别名和他的羽贯、民族是什么？该问题的答案在知识库中对应的三元组为['伊利丹·怒风 ||| 中文名 ||| 伊利丹·怒风', '伊利丹·怒风 ||| 籍贯 ||| 达纳苏斯', '伊利丹·怒风 ||| 籍贯 ||| 达纳苏斯', '伊利丹·怒风 ||| 民族 ||| 半恶魔半暗夜精灵']。这样对吗？	0
我对日本历史人物仲宗根丰见亲的背景信息非常感兴趣。你能告诉我他的民族，出生地，他在琉球国的头职，他的族姓，封爵，甚至他的母亲和妻子的名字吗？我还想知道一些关于他的其他亲属信息。该问题的答案在知识库中对应的三元组为['仲宗根丰见亲 ||| 民族 ||| 大和民族', '仲宗根丰见亲 ||| 出生地 ||| 日本', '仲宗根丰见亲 ||| 头职 ||| 琉球国', '仲宗根丰见亲 ||| 姓 ||| 忠导', '仲宗根丰见亲 ||| 封爵 ||| 丰见亲', '仲宗根丰见亲 ||| 氏族 ||| 忠导氏', '仲宗根丰见亲 ||| 母亲 ||| 目娥月', '仲宗根丰见亲 ||| 妻 ||| 宇津免嘉']。这样对吗？	1
我对日本历史人物仲宗根丰见亲的背景信息非常感兴趣。你能告诉我他的民族，出生地，他在琉球国的头职，他的族姓，封爵，甚至他的母亲和妻子的名字吗？我还想知道一些关于他的其他亲属信息。该问题的答案在知识库中对应的三元组为没有找到该问题对应的知识。这样对吗？	0
迎春的种叫什么？该问题的答案在知识库中对应的三元组为['迎春 ||| 种 ||| 迎春花']。这样对吗？	1
迎春的种叫什么？该问题的答案在知识库中对应的三元组为['迎春 ||| 属 ||| 素馨属(Jasminum L)']。这样对吗？	0
我对张嘉儿有一未知之处，能帮我查查她的星座，原籍她和父母是哪里人，她是哪哪里出生的，另外我还想知道她是的教育背景，目前在地方是哪在活动以及是那家公司在经纪她。此外，我想知道她有获得过哪些重要的jiang？该问题的答案在知识库中对应的三元组为['张嘉儿 ||| 星座 ||| 天蝎座', '张嘉儿 ||| 民族 ||| 华人', '张嘉儿 ||| 出生 ||| 1983年11月18日（31岁） 英属香港九龙法国医院', '张嘉儿 ||| 教育程度 ||| 加拿大英属哥伦比亚大学毕业', '张嘉儿 ||| 出道地点 ||| 香港', '张嘉儿 ||| 经纪公司 ||| TVB（香港代理） 28 Stage（马来西亚代理）', '张嘉儿 ||| 奖项 ||| 2007年度香港小姐冠军 2008年度国际中华小姐亚军']。这样对吗？	1
我对张嘉儿有一未知之处，能帮我查查她的星座，原籍她和父母是哪里人，她是哪哪里出生的，另外我还想知道她是的教育背景，目前在地方是哪在活动以及是那家公司在经纪她。此外，我想知道她有获得过哪些重要的jiang？该问题的答案在知识库中对应的三元组为['张嘉儿 ||| 星座 ||| 天蝎座', '张嘉儿 ||| 籍贯 ||| 祖籍广东省潮州市', '张嘉儿 ||| 出生地 ||| 广东省潮州市', '张嘉儿 ||| 籍贯 ||| 祖籍广东省潮州市', '张嘉儿 ||| 籍贯 ||| 祖籍广东省潮州市', '张嘉儿 ||| 经纪公司 ||| TVB（香港代理） 28 Stage（马来西亚代理）']。这样对吗？	0
属于艾米·缇加登互联网资料库的编号是多少？该问题的答案在知识库中对应的三元组为['艾米·缇加登 ||| IMDB编号 ||| nm1631435']。这样对吗？	1
属于艾米·缇加登互联网资料库的编号是多少？该问题的答案在知识库中对应的三元组为['艾米·缇加登 ||| 身高 ||| 170cm']。这样对吗？	0
迈克尔·里德所属的联盟是什么？该问题的答案在知识库中对应的三元组为['迈克尔·里德 ||| 联盟 ||| NBA']。这样对吗？	1
迈克尔·里德所属的联盟是什么？该问题的答案在知识库中对应的三元组为['迈克尔·里德 ||| 大学 ||| 俄亥俄州州立大学']。这样对吗？	0
天津城市建设管理职业技术学院的具体地址是在哪里？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
天津城市建设管理职业技术学院的具体地址是在哪里？该问题的答案在知识库中对应的三元组为['天津城市建设管理职业技术学院 ||| 所属地区 ||| 中国天津']。这样对吗？	0
在《轻音少女》里中野梓在所处乐团中担任的职务有哪些？该问题的答案在知识库中对应的三元组为['中野梓 ||| 担当 ||| 吉他手、书记、部长（高三时）']。这样对吗？	1
在《轻音少女》里中野梓在所处乐团中担任的职务有哪些？该问题的答案在知识库中对应的三元组为['中野梓 ||| 轻音朋友 ||| 平泽唯、秋山澪、琴吹䌷、田井中律']。这样对吗？	0
芦林湖的门票是多少？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
芦林湖的门票是多少？该问题的答案在知识库中对应的三元组为['芦林湖 ||| 海拔 ||| 1040米']。这样对吗？	0
战斗力最强的第9师团隶属于哪个部队？该问题的答案在知识库中对应的三元组为['第9师团 ||| 最终上级部队 ||| 第10方面军']。这样对吗？	1
战斗力最强的第9师团隶属于哪个部队？该问题的答案在知识库中对应的三元组为没有找到该问题对应的知识。这样对吗？	0
朱迪·丹奇是一位非常出色的演员，她的出色表演能力和深厚的戏剧功底使我对她非常钦佩。但我对她的个人信息了解的并不多，不清楚她的出生年月，星座，以及身高等信息。另外，我也很好奇她的实名是什么，和她的配偶情况。至于她的代表作品，我也希望你能帮我列出，这样我可以更好的了解她。该问题的答案在知识库中对应的三元组为['朱迪·丹奇 ||| 出生年月 ||| 1934年12月9日', '朱迪·丹奇 ||| 星座 ||| 射手座', '朱迪·丹奇 ||| 身高 ||| 161厘米', '朱迪·丹奇 ||| 本名 ||| Judith Olivia Dench', '朱迪·丹奇 ||| 配偶 ||| 迈克尔·威廉斯 （1935-2001）（已殁）', '朱迪·丹奇 ||| 代表作品 ||| 《窗外有蓝天》；《傲慢与偏见》；《亨利五世》等']。这样对吗？	1
朱迪·丹奇是一位非常出色的演员，她的出色表演能力和深厚的戏剧功底使我对她非常钦佩。但我对她的个人信息了解的并不多，不清楚她的出生年月，星座，以及身高等信息。另外，我也很好奇她的实名是什么，和她的配偶情况。至于她的代表作品，我也希望你能帮我列出，这样我可以更好的了解她。该问题的答案在知识库中对应的三元组为['朱迪·丹奇 ||| 出生年月 ||| 1934年12月9日', '朱迪·丹奇 ||| 星座 ||| 射手座', '朱迪·丹奇 ||| 身高 ||| 161厘米', '朱迪·丹奇 ||| 代表作品 ||| 《窗外有蓝天》；《傲慢与偏见》；《亨利五世》等']。这样对吗？	0
近期我看了一部电影，其中的一个角色方世杰给我留下了深刻的印象，他的演技真的很棒，那他的本名是什么，今年多大了，来自哪里呢?该问题的答案在知识库中对应的三元组为['方世杰 ||| 中文名 ||| 方世杰', '方世杰 ||| 年龄 ||| 23', '方世杰 ||| 籍贯 ||| 东莞']。这样对吗？	1
近期我看了一部电影，其中的一个角色方世杰给我留下了深刻的印象，他的演技真的很棒，那他的本名是什么，今年多大了，来自哪里呢?该问题的答案在知识库中对应的三元组为['方世杰 ||| 饰演 ||| 周杰伦', '方世杰 ||| 别名 ||| 方世杰', '方世杰 ||| 年龄 ||| 23', '方世杰 ||| 饰演 ||| 周杰伦']。这样对吗？	0
乌德穆尔特共和国的行政长官是谁？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
乌德穆尔特共和国的行政长官是谁？该问题的答案在知识库中对应的三元组为['乌德穆尔特共和国 ||| 政府驻地 ||| 伊热夫斯克市']。这样对吗？	0
火影忍者中都有哪些人物是药师兜想要挑战的？该问题的答案在知识库中对应的三元组为['药师兜 ||| 想挑战的对手 ||| 鸣人、佐助、大蛇丸、鼬']。这样对吗？	1
火影忍者中都有哪些人物是药师兜想要挑战的？该问题的答案在知识库中对应的三元组为['药师兜 ||| 忍者登记号码 ||| 012140']。这样对吗？	0
我知道周仰杰是著名的鞋师，其设计的高级女鞋倍受好莱坞明星的喜爱。他名字 Jimmy Choo已经成为一个全球知名品牌。然而，我了解到他的原名并不是Jimmy Choo，他真正的yuan名竟是什么呢？他在哪ly出生长大的？他的教育jing历是怎样的？他现在住在哪lix？他的宗教信仰又是什么么？他于何时开始活跃在时尚jie？该问题的答案在知识库中对应的三元组为['周仰杰 ||| 宗教 ||| 道教', '周仰杰 ||| 原文名 ||| Jimmy Choo', '周仰杰 ||| 出生 ||| Choo Yeang Keat 1952年11月15日（62岁）[1] 马来西亚槟城', '周仰杰 ||| 居住地 ||| 英国伦敦', '周仰杰 ||| 教育程度 ||| 大学', '周仰杰 ||| 活跃时期 ||| 1986年迄今']。这样对吗？	1
我知道周仰杰是著名的鞋师，其设计的高级女鞋倍受好莱坞明星的喜爱。他名字 Jimmy Choo已经成为一个全球知名品牌。然而，我了解到他的原名并不是Jimmy Choo，他真正的yuan名竟是什么呢？他在哪ly出生长大的？他的教育jing历是怎样的？他现在住在哪lix？他的宗教信仰又是什么么？他于何时开始活跃在时尚jie？该问题的答案在知识库中对应的三元组为['周仰杰 ||| 职业 ||| 鞋类设计师', '周仰杰 ||| 居住地 ||| 英国伦敦', '周仰杰 ||| 职业 ||| 鞋类设计师', '周仰杰 ||| 原文名 ||| Jimmy Choo', '周仰杰 ||| 出生地 ||| 马来西亚槟城', '周仰杰 ||| 教育程度 ||| 大学', '周仰杰 ||| 居住地 ||| 英国伦敦', '周仰杰 ||| 宗教 ||| 道教', '周仰杰 ||| 活跃时期 ||| 1986年迄今']。这样对吗？	0
对于王世襄先生我有一定的了解，知道他的别名、国籍、民族、出生地、出生日期和逝世日期等基本信息，同时也了解他的主要成就和代表作品。但对于他的更深层次的信息，例如他的籍贯、毕业院校、其他作品、其他成就等我了解的并不多，希望你能告诉我更多关于王世襄先生的信息。该问题的答案在知识库中对应的三元组为['王世襄 ||| 籍贯 ||| 祖籍福建福州', '王世襄 ||| 毕业院校 ||| 燕京大学国文系', '王世襄 ||| 其他作品 ||| 《画学汇编》, 《竹刻艺术》, 《明式家具珍赏》, 《中国古代漆器》', '王世襄 ||| 其他成就 ||| 第一届国家图书奖提名奖, 国务院政府特殊津贴, 克劳斯亲王奖最高荣誉奖, 中央文史研究馆馆员, 国家文物鉴定委员会委员']。这样对吗？	1
对于王世襄先生我有一定的了解，知道他的别名、国籍、民族、出生地、出生日期和逝世日期等基本信息，同时也了解他的主要成就和代表作品。但对于他的更深层次的信息，例如他的籍贯、毕业院校、其他作品、其他成就等我了解的并不多，希望你能告诉我更多关于王世襄先生的信息。该问题的答案在知识库中对应的三元组为['王世襄 ||| 姓名 ||| 王世襄', '王世襄 ||| 国籍 ||| 中国', '王世襄 ||| 民族 ||| 汉族', '王世襄 ||| 出生地 ||| 北京', '王世襄 ||| 出生日期 ||| 1914年5月25日', '王世襄 ||| 逝世日期 ||| 2009年11月28日', '王世襄 ||| 主要成就 ||| 第一届国家图书奖提名奖 国务院政府特殊津贴 克劳斯亲王奖最高荣誉奖 中央文史研究馆馆员 国家文物鉴定委员会委员', '王世襄 ||| 代表作品 ||| 《画学汇编》《竹刻艺术》《明式家具珍赏》《中国古代漆器》']。这样对吗？	0
我了解到田辺瑞穂是一位日本公民，出生于日本。田辺瑞穂的身高是164cm，血型是A型。她的星座是天蝎座。你还能告诉我关于她的哪些信息？该问题的答案在知识库中对应的三元组为['田辺瑞穂 ||| 别名 ||| 田辺瑞穂', '田辺瑞穂 ||| 中文名 ||| 田辺瑞穂', '田辺瑞穂 ||| 外文名 ||| Mizuho Tanabe', '田辺瑞穂 ||| 身高 ||| 164Cm', '田辺瑞穂 ||| 日文名 ||| 田辺みずほ', '田辺瑞穂 ||| 血型 ||| A', '田辺瑞穂 ||| 国籍 ||| 日本', '田辺瑞穂 ||| 星座 ||| 天蝎座']。这样对吗？	1
我了解到田辺瑞穂是一位日本公民，出生于日本。田辺瑞穂的身高是164cm，血型是A型。她的星座是天蝎座。你还能告诉我关于她的哪些信息？该问题的答案在知识库中对应的三元组为['田辺瑞穂 ||| 身高 ||| 164Cm', '田辺瑞穂 ||| 血型 ||| A', '田辺瑞穂 ||| 身高 ||| 164Cm', '田辺瑞穂 ||| 职业 ||| AV女优', '田辺瑞穂 ||| 性别 ||| 女', '田辺瑞穂 ||| 身高 ||| 164Cm']。这样对吗？	0
哪个船厂制造了冯·施托伊本将军号？该问题的答案在知识库中对应的三元组为['冯·施托伊本将军号 ||| 建造厂 ||| 德国斯特丁（今波兰什切青）']。这样对吗？	1
哪个船厂制造了冯·施托伊本将军号？该问题的答案在知识库中对应的三元组为['将军号 ||| 对白语言 ||| 英语']。这样对吗？	0
我想知道1些关于赵佩茹的信息，他是一位著名的相声大师，我对他的一些基本信息，比如他年出生的年份，逝世的年份，他的主作品要，以及他的一些志传弟子非常感兴趣，你能帮我找到这些信息y吗？该问题的答案在知识库中对应的三元组为['赵佩茹 ||| 出生年月 ||| 1914年', '赵佩茹 ||| 去世年月 ||| 1973年', '赵佩茹 ||| 代表作 ||| 《批三国》 《写对子》', '赵佩茹 ||| 徒弟 ||| 李伯祥、张伯华、马伯林 崔伯光、杨伯英、高英培 常贵田、刘英华、杨英彩 李世增、李英杰、王祥林 马志存、徐德魁、张继英 任鸣岐、刘英奇、张奎清 张义勤、李浩然、郭士中 侯耀文、许秀林、刘国器']。这样对吗？	1
我想知道1些关于赵佩茹的信息，他是一位著名的相声大师，我对他的一些基本信息，比如他年出生的年份，逝世的年份，他的主作品要，以及他的一些志传弟子非常感兴趣，你能帮我找到这些信息y吗？该问题的答案在知识库中对应的三元组为['赵佩茹 ||| 性 别 ||| 男', '赵佩茹 ||| 代表作品 ||| 写对子等', '赵佩茹 ||| 辈分 ||| “宝”字辈']。这样对吗？	0
我在一个音乐节目中听到了单小喏的歌曲，他艺名是什么，身高体重有多少该问题的答案在知识库中对应的三元组为['单小喏 ||| 艺名 ||| 单小喏', '单小喏 ||| 身高 ||| 168cm', '单小喏 ||| 体重 ||| 45kg']。这样对吗？	1
我在一个音乐节目中听到了单小喏的歌曲，他艺名是什么，身高体重有多少该问题的答案在知识库中对应的三元组为['单小喏 ||| 身高 ||| 168cm']。这样对吗？	0
坦桑尼亚的国鸟是什么鸟？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
坦桑尼亚的国鸟是什么鸟？该问题的答案在知识库中对应的三元组为['坦桑尼亚 ||| 国花 ||| 丁香']。这样对吗？	0
宝马5系都有哪些颜色？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
宝马5系都有哪些颜色？该问题的答案在知识库中对应的三元组为['宝马 ||| 验厂咨询 ||| P&B']。这样对吗？	0
于是之在1987年创文学代表作叫什么？该问题的答案在知识库中对应的三元组为['于是之 ||| 文学作品 ||| 《于是之论表演艺术》']。这样对吗？	1
于是之在1987年创文学代表作叫什么？该问题的答案在知识库中对应的三元组为['于是之 ||| 奖项 ||| 第四届中国电影金鸡奖最佳男配角奖']。这样对吗？	0
